pretty_formula,e_above_hull,energy_per_atom,formation_energy_per_atom
Ga40AgMo8,0,-4.446824547,-0.136216032
Y2Ga3Ag,0,-4.72463095,-0.578263657
LaAgHg2,0,-2.47924013,-0.382489705
La2AgHg,0,-3.641959478,-0.38416025
Li2AgHg,0,-2.03571867,-0.297875948
AgHgPd2,0,-3.51866653,-0.143501063
Sc2AgHg,0,-4.314400848,-0.36294477
YAgHg2,0,-2.82213467,-0.345509623
Y2AgHg,0,-4.456727353,-0.43917888
LaInAg2,0,-3.707160395,-0.366356826
Li2InAg,0,-2.639911263,-0.290026568
LiInAg2,0,-2.80499171,-0.224166393
MgInAg2,0,-2.657043118,-0.152127223
Na3In2Ag,0,-2.185614913,-0.140077177
Sc2InAg,0,-4.936649313,-0.373151263
ScInAg2,0,-3.99459786,-0.306965866
YInAg2,0,-4.094767688,-0.374089496
La2(MgAg3)3,0,-3.153176049,-0.282148016
LaMgAg,0,-3.4018818,-0.273896547
La4Mg3Ag10,0,-3.413195447,-0.300142569
LaAgPb,0,-4.332260817,-0.50070047
La3(AgSn)4,0,-4.422720165,-0.585612226
La2TlAg,0,-4.10839948,-0.334720926
LiMg2Ag,0,-2.198522305,-0.211427878
Li2AgPb,0,-2.85879512,-0.26810995
Li2AgPd,0,-3.302418475,-0.34484383
Li2AgSn,0,-3.035003503,-0.370734031
Li2AgSn2,0,-3.247838467,-0.314543401
LiAg2Sn,0,-3.1261139,-0.230903806
Li2TlAg,0,-2.480333473,-0.226611424
LiZnAg2,0,-2.399985133,-0.188917694
LiZn2Ag,0,-1.996036753,-0.174696393
Mg2AgPd,0,-3.30295497,-0.49719917
Mg2AgPt,0,-3.60036446,-0.57605597
Mg2AgRh,0,-3.72715201,-0.377799593
MgScAg2,0,-3.687474735,-0.286723585
YMgAg,0,-3.924693401,-0.290208651
YMgAg2,0,-3.74915221,-0.315354863
MgZnAg2,0,-2.296762763,-0.161604746
Sc2AgOs,0,-7.054524573,-0.374045424
YAgPb,0,-4.744064147,-0.406004303
Zr5AgPb3,0,-6.548520315,-0.246906353
SrAg3Pd2,0,-3.765766458,-0.341365337
Sc2AgRu,0,-6.631908675,-0.437287064
Y2AgRu,0,-6.602533915,-0.341819909
ScAgSn,0,-4.852147193,-0.460036544
Sc2TcAg,0,-6.706631825,-0.241479145
Sc2TlAg,0,-4.766209275,-0.298873871
Sc2ZnAg,0,-4.521702893,-0.327962721
Sr(AgSn)2,0,-3.432386878,-0.358740838
YAgSn,0,-5.04865241,-0.612480165
Y2TlAg,0,-4.907743758,-0.374315959
Y2ZnAg,0,-4.61127242,-0.351439854
CaAlAu,0,-3.70793679,-0.699576443
AlCuAu2,0,-3.85473429,-0.255978188
Hf2Al3Au,0,-6.263349217,-0.525573415
LaAlAu,0,-4.720829451,-0.730895011
LaAl3Au,0,-4.54810552,-0.654903584
LiAlAu2,0,-3.603285338,-0.55235914
MnAlAu2,0,-5.107815188,-0.244069838
ScAlAu,0,-5.216709021,-0.764336681
Sr(AlAu)2,0,-3.77983646,-0.63387639
SrAl2Au3,0,-3.813163323,-0.645894185
TiAlAu,0,-5.468329355,-0.495314351
AlV9Au2,0,-7.757127463,-0.084180584
YAlAu,0,-5.305625059,-0.809191123
ZrAlAu2,0,-5.248100995,-0.53728747
BaAl9Fe2,0,-4.698761815,-0.317329813
Ba3Al3Ga2,0,-3.227757056,-0.341187381
Ba(AlGa)2,0,-3.466330538,-0.367277158
BaAl9Ni2,0,-4.296781027,-0.361808495
Ba5Al5Pb,0,-3.246104165,-0.329872853
Ba3(AlPt)4,0,-4.96247636,-0.872157333
