pretty_formula,e_above_hull,energy_per_atom,formation_energy_per_atom
Al2Pt,0,-5.414176997,-0.896498577
Al3Pt2,0,-5.668182178,-0.99658871
Al3Pt5,0,-6.104036229,-0.912979474
Al21Pt8,0,-5.144690272,-0.759697238
AlPt2,0,-6.14994253,-0.86268887
AlRe,0,-8.410493448,-0.314513256
Al11Re4,0,-6.407936255,-0.340965335
Al12Re,0,-4.552200576,-0.135193241
AlRe2,0,-9.810143503,-0.264870975
AlRh,0,-6.64297773,-1.090423835
Al9Rh2,0,-4.902260889,-0.497993812
Al5Rh2,0,-5.521014642,-0.741796768
Al13Ru4,0,-5.582747442,-0.533879696
AlRu,0,-7.20070916,-0.688481278
Al6Ru,0,-4.867354611,-0.329501516
Al2Ru,0,-6.307086792,-0.71623381
ScAl2,0,-5.093714662,-0.483246088
Sc3Al,0,-5.953993464,-0.265568149
ScAl3,0,-4.84550127,-0.450624045
ScAl,0,-5.488817535,-0.447166265
Sc2Al,0,-5.821222578,-0.348388612
Sr8Al7,0,-2.835579447,-0.18728328
SrAl4,0,-3.558550346,-0.222874796
Sr5Al9,0,-3.267582596,-0.255957327
SrAl2,0,-3.322791842,-0.262068045
TaAl3,0,-6.091832193,-0.31686851
Ta2Al,0,-9.396605713,-0.243541193
Ta24Al19,0,-8.538701682,-0.265514589
Al12Tc,0,-4.42481058,-0.168217117
AlTc2,0,-8.571511753,-0.416492787
Al4Tc,0,-5.445934131,-0.375756215
TiAl,0,-6.225296765,-0.402681498
TiAl2,0,-5.561150925,-0.430039687
TiAl3,0,-5.182733088,-0.397373864
Ti3Al,0,-7.136112636,-0.276241326
AlV3,0,-7.882381905,-0.13038691
Al3V,0,-5.3687839,-0.286050115
Al4W,0,-5.744173286,-0.153765518
Al5W,0,-5.443170268,-0.159813264
Al12W,0,-4.531323291,-0.074641423
YAl3,0,-4.864692554,-0.436769131
Y2Al,0,-5.873537558,-0.312580398
YAl2,0,-5.200584097,-0.546053927
Zr3Al,0,-7.647128168,-0.299460903
Zr2Al3,0,-6.186710681,-0.518839989
Zr4Al3,0,-6.954757803,-0.464129606
ZrAl3,0,-5.433122356,-0.485164481
ZrAl2,0,-5.886431528,-0.538522088
BaAu5,0,-3.490600287,-0.441655943
BaAu,0,-3.31882286,-0.71961879
BaAu2,0,-3.56549163,-0.741417423
Ba3Au2,0,-3.066854651,-0.602572663
BeAu,0,-3.63479357,-0.126581113
Be5Au,0,-3.74712255,-0.082644774
BeAu2,0,-3.56450471,-0.134424912
BiAu2,0,-3.530418737,-0.048460772
CaAu5,0,-3.47769859,-0.415659293
Ca3Au,0,-2.807429524,-0.486603368
Ca5Au2,0,-2.920273175,-0.554066622
Ca5Au3,0,-3.16609123,-0.686433686
Ca7Au3,0,-2.961545191,-0.577186479
Ca5Au4,0,-3.332582051,-0.764684848
Ca3Au4,0,-3.513987091,-0.784737368
CaAu,0,-3.448805245,-0.810316314
CaAu2,0,-3.56270949,-0.712445376
Cd3Au,0,-1.635722559,-0.131218173
Cd5Au3,0,-1.970729027,-0.171339625
CdAu3,0,-2.812307489,-0.12826304
CdAu,0,-2.275212669,-0.180938251
CsAu,0,-2.39150249,-0.306900223
CuAu,0,-3.73160446,-0.045051085
Cu3Au,0,-3.927877745,-0.034954922
GaAu,0,-3.384688968,-0.229165008
Ga2Au,0,-3.346090417,-0.22999663
HfAu,0,-7.158273443,-0.544233505
HfAu3,0,-5.425639556,-0.481712348
HfAu2,0,-6.062258033,-0.561626582
Hf2Au,0,-8.168393213,-0.44094479
In2Au3,0,-3.230821988,-0.165789965
In3Au10,0,-3.270285338,-0.116922276
In2Au,0,-3.151871237,-0.226027519
K2Au3,0,-2.74913978,-0.340717363
KAu5,0,-3.137628528,-0.224394075
La14Au51,0,-4.293740186,-0.659356528
LaAu,0,-4.932278088,-0.821428018
LaAu2,0,-4.640699677,-0.80886147
Li15Au4,0,-2.546785397,-0.351267098
LiAu,0,-3.139950275,-0.54905671
Li3Au,0,-2.655496718,-0.40606361
LiAu3,0,-3.291461403,-0.35910738
Mg3Au,0,-2.427774028,-0.406069188
MgAu3,0,-3.263854991,-0.407410391
MgAu,0,-3.042769325,-0.603694605
Mg3Au13,0,-3.274472673,-0.313685603
Mg149Au,0,-1.645519242,-0.030054419
Mg2Au,0,-2.680281173,-0.51945304
MnAu4,0,-4.528655778,-0.077754342
MnAu2,0,-5.34375918,-0.108133107
NaAu2,0,-2.982573183,-0.362499685
Na2Au,0,-2.252217098,-0.285884582
Nb3Au2,0,-7.521383476,-0.143974182
NbAu2,0,-5.669605833,-0.116016457
Pb2Au,0,-3.652079435,-0.084101115
PbAu2,0,-3.492797497,-0.071901097
Pd3Au,0,-4.76658745,-0.061170225
PdAu3,0,-3.829963543,-0.078948148
RbAu,0,-2.399798095,-0.25462462
Rb2Au3,0,-2.661662542,-0.290760866
RbAu5,0,-3.07825205,-0.180651238
Rb3Au7,0,-2.862153743,-0.265523866
ScAu4,0,-4.432863872,-0.546772416
ScAu2,0,-5.112271443,-0.817995337
ScAu,0,-5.601431495,-0.796924575
SnAu,0,-3.824411518,-0.182805555
Sn4Au,0,-3.939340841,-0.077059989
Sn2Au,0,-3.892518045,-0.128314922
SrAu,0,-3.26330137,-0.783411615
Sr3Au2,0,-2.993805507,-0.672700697
Sr7Au3,0,-2.694393997,-0.532074132
SrAu2,0,-3.483392412,-0.738861082
SrAu5,0,-3.459006142,-0.449833237
Ta2Au,0,-9.044334605,-0.049366319
TiAu,0,-6.01248905,-0.427018133
TiAu4,0,-4.477178852,-0.278701797
TiAu2,0,-5.23921832,-0.424299549
Ti3Au,0,-7.092186943,-0.350887808
Tl2Au,0,-2.69653624,-0.027126243
V3Au,0,-7.66531279,-0.03188997
Y2Au,0,-6.049476598,-0.646615672
YAu2,0,-5.198563397,-0.860225693
YAu,0,-5.75803729,-0.887437975
YAu3,0,-4.785972498,-0.7137656
Zn3Au,0,-1.926771452,-0.153697713
ZnAu3,0,-2.921155303,-0.147587736
ZnAu,0,-2.475028255,-0.201707603
Zn3Au5,0,-2.717184758,-0.193740649
ZrAu4,0,-4.743939019,-0.415383043
ZrAu2,0,-5.60696535,-0.575248377
ZrAu3,0,-5.094619419,-0.502378069
Zr2Au,0,-7.20749314,-0.417873673
Zr3Au,0,-7.572321759,-0.343226669
Ba11Bi10,0,-3.747117699,-0.882690098
Ba5Bi3,0,-3.556048836,-0.891335948
Ba4Bi3,0,-3.676471114,-0.906026907
Ba2Bi3,0,-3.879658936,-0.770874511
Ba2Cd,0,-1.821401793,-0.233427902
BaCd,0,-1.74413209,-0.324468083
BaCd2,0,-1.59045964,-0.339105517
BaCd11,0,-1.17113477,-0.172245473
Ba7Cd31,0,-1.342641272,-0.241880203
BaCu13,0,-3.957870428,-0.013913773
BaCu,0,-3.078250519,-0.066307554
BaGa2,0,-3.121347287,-0.454993773
Ba8Ga7,0,-2.809467257,-0.3656417
BaGa4,0,-3.249639552,-0.434934068
Ba2Hg,0,-1.759844587,-0.375551997
BaHg2,0,-1.344757268,-0.500765748
BaHg3,0,-1.138502681,-0.429586429
